EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,eval_traj_length,advs/mean_Mean,advs/mean_Std,advs/mean_Max,advs/mean_Min,advs/std_Mean,advs/std_Std,advs/std_Max,advs/std_Min,advs/max_Mean,advs/max_Std,advs/max_Max,advs/max_Min,advs/min_Mean,advs/min_Std,advs/min_Max,advs/min_Min,Training/vf_loss_Mean,Training/vf_loss_Std,Training/vf_loss_Max,Training/vf_loss_Min,grad_norm/vf_Mean,grad_norm/vf_Std,grad_norm/vf_Max,grad_norm/vf_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,logprob/mean_Mean,logprob/mean_Std,logprob/mean_Max,logprob/mean_Min,logprob/std_Mean,logprob/std_Std,logprob/std_Max,logprob/std_Min,logprob/max_Mean,logprob/max_Std,logprob/max_Max,logprob/max_Min,logprob/min_Mean,logprob/min_Std,logprob/min_Max,logprob/min_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,ratio/max_Mean,ratio/max_Std,ratio/max_Max,ratio/max_Min,ratio/min_Mean,ratio/min_Std,ratio/min_Max,ratio/min_Min,grad_norm/pf_Mean,grad_norm/pf_Std,grad_norm/pf_Max,grad_norm/pf_Min
0,27.76673698425293,2048,-124.98655,-83.73864,nan,2.83282,3.99102,20.84961,3903.25000,-0.66265,0.04029,-0.54672,-0.81907,0.52709,0.04178,0.63615,0.40374,0.44676,0.17523,0.68864,0.03646,-1.84624,0.18565,-1.47509,-2.14970,0.21180,0.19912,0.85503,0.04515,0.75301,0.65511,2.27742,0.18301,0.00544,0.03210,0.11372,-0.06563,12.22516,0.35229,13.10517,11.04780,2.91858,0.31099,3.85543,2.06179,17.60489,0.80351,19.54214,15.60109,3.66458,2.20176,8.00860,-1.37463,-2.08181,0.00147,-2.07939,-2.08438,0.00502,0.00204,0.00782,0.00000,-2.07361,0.00168,-2.07151,-2.07944,-2.09067,0.00512,-2.07944,-2.09936,1.80757,0.31568,3.27007,1.00000,0.47923,0.12098,1.00000,0.11152,6.71944,1.26928,10.35237,3.86581
1,26.96024775505066,4096,-150.17426,-80.96650,nan,3.05777,3.85888,19.94642,3909.75000,-0.54936,0.04304,-0.41494,-0.67997,0.50279,0.03949,0.62707,0.37858,0.37564,0.12318,0.57834,-0.01354,-1.78010,0.16201,-1.34189,-1.99508,0.11804,0.10080,0.68642,0.03766,0.73798,0.65892,3.79026,0.26679,0.00307,0.03206,0.10748,-0.06872,12.16911,0.37020,13.12436,11.13669,2.92368,0.26713,3.76787,2.22635,17.56980,0.67443,18.77210,15.97962,3.84659,1.95643,7.88276,-0.50149,-2.08525,0.00031,-2.08440,-2.08569,0.00891,0.00066,0.01000,0.00782,-2.07177,0.00071,-2.07044,-2.07338,-2.10258,0.00157,-2.09941,-2.10530,1.90099,0.40868,4.12860,1.00000,0.46937,0.13130,1.00000,0.19453,6.54350,1.28676,11.00293,3.22253
2,28.480644702911377,6144,-120.06830,-78.40166,nan,2.83343,3.91570,21.60882,1983.25000,-0.44706,0.03655,-0.33672,-0.54453,0.43336,0.03642,0.53969,0.32105,0.47666,0.18758,0.92726,0.10361,-1.49952,0.14085,-1.17957,-1.71045,0.09325,0.05565,0.39239,0.03440,0.79949,0.50006,3.26420,0.40478,0.00333,0.03219,0.13137,-0.05817,12.22666,0.35585,13.23867,11.30917,2.80124,0.28393,3.56751,1.94552,17.36451,0.60907,18.77654,15.62173,4.17994,2.08152,8.97842,-2.03670,-2.08537,0.00013,-2.08514,-2.08568,0.01019,0.00059,0.01146,0.00934,-2.06985,0.00095,-2.06728,-2.07163,-2.10464,0.00056,-2.10367,-2.10626,1.90674,0.40841,3.49647,1.00000,0.45728,0.13268,1.00000,0.20333,6.42923,1.39414,10.76956,3.41157
3,27.351134061813354,8192,-138.97505,-104.70347,nan,2.66247,3.98360,20.70485,3886.50000,-0.53982,0.04914,-0.39083,-0.68359,0.57202,0.05664,0.71755,0.40623,0.66856,0.17762,1.09792,0.27684,-2.03885,0.35527,-1.39883,-2.78364,0.16604,0.10794,0.73865,0.06512,1.41917,0.73876,5.06715,0.68982,-0.00009,0.03081,0.08579,-0.06516,12.19588,0.36952,13.18064,11.04874,2.94676,0.30693,4.01608,2.15649,17.47615,0.65785,18.82031,15.76551,3.68886,1.95032,8.22603,-0.58835,-2.08242,0.00158,-2.08055,-2.08554,0.01312,0.00107,0.01507,0.01130,-2.06314,0.00313,-2.05842,-2.06864,-2.10660,0.00149,-2.10385,-2.10929,2.04988,0.51931,4.88992,1.00000,0.44517,0.13460,1.00000,0.19290,6.11514,1.30711,10.44606,3.13952
4,27.18134093284607,10240,-114.65761,-38.58996,nan,2.78401,4.14071,20.17508,2639.25000,0.02482,0.05850,0.20065,-0.17684,0.68232,0.06257,0.92660,0.53967,1.59865,0.18010,1.85416,0.96835,-1.58573,0.48742,-0.95909,-3.85391,0.14881,0.07976,0.51627,0.06411,1.10233,0.52712,3.91444,0.54487,0.00193,0.03301,0.10793,-0.05875,12.12673,0.34972,13.17852,10.99143,2.90656,0.29761,3.76451,2.05803,17.60911,0.70521,19.15263,15.39266,3.83130,1.89715,7.97383,-0.65047,-2.07881,0.00066,-2.07806,-2.08054,0.01604,0.00090,0.01758,0.01477,-2.05788,0.00155,-2.05515,-2.06135,-2.11422,0.00443,-2.10729,-2.12179,2.04843,0.64307,5.60142,1.00000,0.44660,0.13257,1.00000,0.10946,6.56619,1.31066,11.49336,3.60981
5,27.031835317611694,12288,-101.30706,-33.80818,nan,2.73356,3.87968,20.41844,2837.25000,0.06883,0.05281,0.24681,-0.05329,0.58990,0.04332,0.70463,0.44954,1.35841,0.17581,1.61989,0.83629,-1.16845,0.17249,-0.72935,-1.43869,0.12441,0.05568,0.41870,0.04831,0.92104,0.37969,2.95201,0.44418,0.00052,0.03357,0.10732,-0.06893,12.22085,0.37031,13.20475,10.94911,2.99479,0.30634,4.10413,2.21316,17.72318,0.66781,19.08868,15.72535,3.51106,2.05238,7.79049,-1.77399,-2.07807,0.00021,-2.07763,-2.07844,0.01957,0.00080,0.02084,0.01760,-2.05232,0.00169,-2.04996,-2.05640,-2.11763,0.00335,-2.11187,-2.12345,1.97186,0.44656,4.20411,1.00000,0.46048,0.13439,1.00000,0.17296,6.47499,1.25453,10.05682,3.74813
6,28.95185685157776,14336,-105.24202,-47.48482,nan,2.85300,4.09137,22.00727,3448.50000,-0.02350,0.05474,0.12017,-0.15057,0.53679,0.04356,0.64792,0.41346,1.21491,0.14230,1.49958,0.83383,-1.24056,0.22021,-0.70481,-1.71813,0.10635,0.04367,0.34395,0.04482,0.85584,0.26866,2.22327,0.46568,-0.00145,0.03438,0.11502,-0.07180,12.04898,0.34831,13.01511,11.11772,2.86969,0.27144,3.74079,2.10010,17.38758,0.62041,18.90546,15.92211,4.20681,1.53493,8.08407,-0.79481,-2.07693,0.00056,-2.07614,-2.07829,0.02286,0.00121,0.02469,0.02080,-2.04457,0.00374,-2.03993,-2.05154,-2.11369,0.00201,-2.11057,-2.11719,2.12247,0.50912,4.24038,1.00000,0.38765,0.15720,1.00000,0.08281,6.27670,1.44541,10.49773,3.11982
7,28.493879556655884,16384,-98.29388,-49.47562,nan,3.05899,4.10737,21.32733,3958.25000,-0.04747,0.05231,0.12161,-0.23509,0.62229,0.05462,0.75944,0.47476,1.69882,0.29972,2.31193,0.90575,-1.33054,0.16668,-0.90717,-1.58642,0.15285,0.06064,0.49265,0.07918,1.06682,0.32937,3.17298,0.57605,0.00508,0.03335,0.13696,-0.06101,12.01887,0.39061,13.25341,10.63873,2.99766,0.32018,3.99460,2.19869,17.46236,0.67239,18.77171,15.61695,3.09131,2.41710,7.24970,-3.69489,-2.07471,0.00093,-2.07322,-2.07658,0.02565,0.00049,0.02659,0.02463,-2.03514,0.00235,-2.03224,-2.04095,-2.12502,0.00301,-2.11725,-2.12909,2.17137,0.58231,5.30876,1.00000,0.40909,0.13297,1.00000,0.14682,6.49805,1.45018,10.96587,2.16669
8,27.64135456085205,18432,-108.75919,-2.76017,nan,2.73933,4.10683,20.79498,4068.25000,0.23246,0.07242,0.41957,-0.02079,1.33884,0.06582,1.53948,1.18523,2.47231,0.24868,3.03561,1.67403,-2.74223,0.33633,-1.99688,-3.55964,0.43402,0.31127,2.24032,0.16145,1.97149,1.30488,10.43895,0.80886,0.00301,0.03375,0.10288,-0.05881,11.99045,0.35446,12.94255,11.08817,2.93557,0.30468,3.92934,2.02337,17.37116,0.67609,18.93973,15.46316,3.50258,1.81229,7.85880,-1.09876,-2.07190,0.00060,-2.07128,-2.07336,0.02852,0.00088,0.02949,0.02645,-2.02266,0.00486,-2.01717,-2.03272,-2.12649,0.00105,-2.12494,-2.12858,2.14609,0.49408,5.18260,1.00000,0.39410,0.13924,1.00000,0.09243,6.84561,1.50761,11.03241,3.78469
9,27.764676809310913,20480,-95.36591,-16.25631,nan,2.88634,4.07643,20.80172,5000.00000,0.08027,0.08246,0.29062,-0.14406,1.11753,0.07849,1.38285,0.94237,2.42032,0.44567,3.36365,1.48991,-2.21210,0.15357,-1.83199,-2.63584,0.34796,0.22351,1.52783,0.12498,1.51909,0.72457,5.15881,0.73731,0.00281,0.03369,0.11144,-0.06276,11.99305,0.36147,12.98893,10.79176,2.89573,0.28106,3.81074,2.28875,17.42042,0.66665,18.79820,15.36772,3.85323,1.68317,7.73794,-1.33209,-2.06987,0.00068,-2.06924,-2.07144,0.03012,0.00032,0.03060,0.02931,-2.01665,0.00101,-2.01507,-2.01849,-2.12690,0.00087,-2.12382,-2.12815,2.02720,0.44771,3.67742,1.00000,0.40728,0.13615,1.00000,0.13989,6.51431,1.36319,11.39241,3.82865
