EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,eval_traj_length,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,new_actions/mean_Mean,new_actions/mean_Std,new_actions/mean_Max,new_actions/mean_Min,new_actions/std_Mean,new_actions/std_Std,new_actions/std_Max,new_actions/std_Min,new_actions/max_Mean,new_actions/max_Std,new_actions/max_Max,new_actions/max_Min,new_actions/min_Mean,new_actions/min_Std,new_actions/min_Max,new_actions/min_Min
0,65.08983612060547,33000,-282.28390,-98.81399,nan,3.37388,11.16846,18.94830,4276.50000,-0.02327,0.00333,-0.01275,-0.03474,0.00065,0.00059,0.00413,0.00022,0.00066,0.00059,0.00394,0.00021,-0.32090,0.19156,0.05806,-0.75133,0.00322,0.01837,0.11030,-0.03047,0.98219,0.11096,1.00011,0.00417,0.98611,0.10081,1.00000,0.00909,-0.98612,0.10111,-0.01034,-1.00000
1,32.17701292037964,36000,-193.69555,-169.74095,nan,3.13050,10.72159,18.00808,2784.50000,-0.02596,0.00466,-0.00100,-0.04101,0.00169,0.00351,0.07606,0.00045,0.00169,0.00449,0.11919,0.00044,-0.25138,0.16394,0.11417,-0.91245,-0.00000,0.00001,-0.00000,-0.00005,1.00011,0.00001,1.00011,1.00006,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
2,31.76354479789734,39000,-217.39101,-398.10769,nan,3.02802,10.57250,18.16289,5000.00000,-0.03440,0.00589,-0.00423,-0.05764,0.00230,0.00286,0.04121,0.00084,0.00227,0.00254,0.03336,0.00082,-0.58705,0.17274,-0.08457,-1.23709,-0.00000,0.00000,-0.00000,-0.00000,1.00011,0.00000,1.00011,1.00011,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
3,32.84407901763916,42000,-228.85764,-366.18915,nan,3.13293,10.82137,18.88956,5000.00000,-0.04070,0.00620,-0.01806,-0.06088,0.00441,0.00704,0.07430,0.00151,0.00436,0.00707,0.07545,0.00156,-0.70945,0.15260,-0.24502,-1.19871,0.00000,0.00000,0.00000,-0.00000,1.00011,0.00000,1.00011,1.00011,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
4,32.07912993431091,45000,-248.95077,-372.24670,nan,3.11221,10.61304,18.35374,2774.75000,-0.04633,0.00646,-0.02689,-0.07196,0.00553,0.00989,0.11518,0.00198,0.00546,0.00961,0.11502,0.00203,-1.11394,0.37308,-0.42569,-2.62424,0.02163,0.05442,0.21831,0.00000,0.99624,0.01540,1.00011,0.83024,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-0.99995,-1.00000
5,32.97611474990845,48000,-240.52844,-327.39672,nan,3.00189,11.08633,18.88769,2795.00000,-0.05007,0.00680,-0.02936,-0.07128,0.00951,0.03929,1.03534,0.00231,0.01051,0.03563,0.75803,0.00259,-1.87986,0.44374,-0.76379,-3.36188,-0.00260,0.13823,0.22000,-0.25397,0.90666,0.03466,0.99100,0.79242,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
6,32.4741153717041,51000,-269.48543,-92.45613,nan,2.99572,10.49506,18.98314,5000.00000,-0.04906,0.00625,-0.02642,-0.07053,0.00774,0.00900,0.11181,0.00305,0.00767,0.00933,0.11061,0.00304,-2.79703,0.49302,-1.24785,-4.23612,-0.17219,0.04991,-0.00173,-0.27049,0.91988,0.01940,0.96314,0.86536,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
7,33.09820628166199,54000,-326.66747,-162.32140,nan,3.17635,10.89209,19.02955,3229.50000,-0.04926,0.00662,-0.02481,-0.06802,0.00963,0.01237,0.19611,0.00443,0.00990,0.01272,0.19569,0.00452,-3.98479,0.68010,-2.46674,-6.29158,-0.14863,0.04196,-0.08939,-0.26225,0.92433,0.01718,0.95073,0.86152,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
8,32.257739543914795,57000,-329.18362,-277.06559,nan,3.13767,10.56832,18.55157,3384.00000,-0.05125,0.00648,-0.02709,-0.07482,0.01485,0.01897,0.30810,0.00646,0.01451,0.01870,0.30818,0.00623,-5.41700,0.99771,-3.12377,-8.52420,-0.04315,0.04649,0.05676,-0.15548,0.95323,0.02127,0.98677,0.89031,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
9,33.17992949485779,60000,-386.06940,-234.22331,nan,3.24609,11.20637,18.72723,4524.50000,-0.05323,0.00670,-0.01652,-0.07430,0.03007,0.07877,2.19858,0.00989,0.02846,0.05011,1.13594,0.00901,-7.05512,1.07775,-3.96499,-10.08600,0.03274,0.05348,0.13616,-0.09145,0.97025,0.01142,0.98877,0.92561,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
