EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,eval_traj_length,advs/mean_Mean,advs/mean_Std,advs/mean_Max,advs/mean_Min,advs/std_Mean,advs/std_Std,advs/std_Max,advs/std_Min,advs/max_Mean,advs/max_Std,advs/max_Max,advs/max_Min,advs/min_Mean,advs/min_Std,advs/min_Max,advs/min_Min,Training/vf_loss_Mean,Training/vf_loss_Std,Training/vf_loss_Max,Training/vf_loss_Min,grad_norm/vf_Mean,grad_norm/vf_Std,grad_norm/vf_Max,grad_norm/vf_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/alpha_loss_Mean,Training/alpha_loss_Std,Training/alpha_loss_Max,Training/alpha_loss_Min,Training/alpha_Mean,Training/alpha_Std,Training/alpha_Max,Training/alpha_Min,Training/eta_Mean,Training/eta_Std,Training/eta_Max,Training/eta_Min,logprob/mean_Mean,logprob/mean_Std,logprob/mean_Max,logprob/mean_Min,logprob/std_Mean,logprob/std_Std,logprob/std_Max,logprob/std_Min,logprob/max_Mean,logprob/max_Std,logprob/max_Max,logprob/max_Min,logprob/min_Mean,logprob/min_Std,logprob/min_Max,logprob/min_Min,KL/mean_Mean,KL/mean_Std,KL/mean_Max,KL/mean_Min,KL/std_Mean,KL/std_Std,KL/std_Max,KL/std_Min,KL/max_Mean,KL/max_Std,KL/max_Max,KL/max_Min,KL/min_Mean,KL/min_Std,KL/min_Max,KL/min_Min,grad_norm/pf_Mean,grad_norm/pf_Std,grad_norm/pf_Max,grad_norm/pf_Min
0,17.3113374710083,2000,-79.30773,-35.35795,nan,2.49709,2.23751,12.43472,2229.50000,-0.27755,0.03012,-0.19670,-0.36111,0.49969,0.02698,0.59597,0.42840,0.97311,0.11663,1.09430,0.60912,-1.54874,0.34368,-1.05941,-2.48196,0.15314,0.09397,0.46134,0.04854,0.45707,0.30324,1.10672,0.09919,-0.19288,0.00780,-0.17181,-0.21213,0.00012,0.00025,0.00100,-0.00037,0.08675,0.00504,0.09970,0.08173,1.02325,0.01324,1.04587,1.00030,12.51005,0.49690,14.19097,11.24691,3.41418,0.54103,4.84208,2.13406,19.49070,1.76542,20.92389,15.96366,3.35400,2.12771,7.06678,-1.68804,0.00875,0.00267,0.01425,0.00000,0.00455,0.00153,0.00825,0.00000,0.02543,0.00904,0.05316,0.00000,0.00192,0.00141,0.00552,0.00000,0.17701,0.01882,0.24076,0.13292
1,18.283167123794556,4000,-84.56847,-32.31082,nan,2.85811,2.29237,12.97943,3000.00000,-0.22862,0.02293,-0.17280,-0.29259,0.42682,0.02491,0.48543,0.36240,1.04126,0.19273,1.34271,0.62848,-1.19438,0.07986,-0.96535,-1.30052,0.07968,0.04187,0.26949,0.04604,0.34701,0.37389,1.74984,0.11513,-0.18867,0.00754,-0.16297,-0.20923,-0.00003,0.00032,0.00088,-0.00045,0.08101,0.00682,0.09447,0.07265,1.07527,0.01652,1.10214,1.04617,12.17180,0.35047,13.29070,11.24096,2.91648,0.28847,3.64938,2.03231,17.45364,0.53172,18.36187,15.73475,3.38679,1.87932,7.95502,-0.47986,0.01044,0.00383,0.01547,0.00000,0.00577,0.00286,0.01331,0.00000,0.03846,0.02256,0.10148,0.00000,0.00356,0.00155,0.00636,0.00000,0.19412,0.02809,0.30566,0.14508
2,17.81084656715393,6000,-86.88173,-27.05800,nan,2.99236,2.02954,12.78874,2507.00000,-0.13056,0.02864,-0.04804,-0.20343,0.48528,0.02236,0.53904,0.42987,0.98446,0.17527,1.33733,0.71524,-1.24359,0.07971,-0.99520,-1.38615,0.09786,0.03854,0.29969,0.06007,0.42517,0.39359,2.28233,0.17036,-0.19382,0.00635,-0.17919,-0.20800,0.00011,0.00033,0.00094,-0.00039,0.07738,0.00670,0.09456,0.07080,1.11456,0.00661,1.12597,1.10242,12.38816,0.34738,13.28950,11.56157,2.87669,0.29260,3.57225,1.95834,17.92801,0.68880,19.31752,15.66436,4.19858,1.90565,8.44942,0.71013,0.00884,0.00385,0.01487,0.00000,0.00353,0.00156,0.00608,0.00000,0.02023,0.00938,0.03894,0.00000,0.00321,0.00157,0.00671,0.00000,0.15302,0.01421,0.19049,0.11743
3,18.485158681869507,8000,-79.26124,-36.24886,nan,3.01056,2.19427,13.15980,3000.00000,-0.18260,0.02704,-0.11202,-0.24700,0.41815,0.02967,0.49314,0.35103,1.00863,0.23956,1.51227,0.53893,-1.33417,0.26611,-0.73289,-1.83168,0.09571,0.02818,0.21467,0.05825,0.43295,0.30426,2.03721,0.19842,-0.19274,0.00669,-0.17487,-0.20841,-0.00009,0.00031,0.00081,-0.00066,0.07914,0.00782,0.09567,0.07010,1.14783,0.01279,1.16945,1.12614,12.27239,0.35681,13.04510,11.28324,2.98126,0.30112,3.91217,2.10756,17.39976,0.55473,18.75187,16.15607,3.48704,2.18309,8.13678,-0.22779,0.01113,0.00381,0.01774,0.00000,0.00905,0.00566,0.02400,0.00000,0.06525,0.04680,0.19827,0.00000,0.00323,0.00140,0.00592,0.00000,0.18043,0.02901,0.28230,0.13249
4,17.335008144378662,10000,-98.41247,-44.64528,nan,2.72908,1.88006,12.72569,3000.00000,-0.22825,0.03020,-0.14844,-0.30273,0.56470,0.05002,0.71241,0.45155,1.09491,0.21128,1.54510,0.60190,-2.17162,0.42266,-1.17931,-3.03245,0.16089,0.07162,0.51998,0.06937,0.60845,0.44458,2.59321,0.25196,-0.19731,0.00565,-0.18101,-0.21083,0.00011,0.00031,0.00096,-0.00042,0.08069,0.00593,0.09584,0.07484,1.18180,0.00657,1.19296,1.16970,12.60347,0.31776,13.34318,11.53711,2.83762,0.26866,3.49426,2.25858,17.59520,0.49399,18.51460,15.60672,4.33919,1.85456,8.20236,0.75883,0.00888,0.00349,0.01530,0.00000,0.00464,0.00217,0.01135,0.00000,0.02932,0.01440,0.05846,0.00000,0.00295,0.00137,0.00577,0.00000,0.15816,0.01427,0.20970,0.13414
5,17.240484952926636,12000,-92.13385,-35.71002,nan,2.47516,2.15082,12.61434,3000.00000,-0.14134,0.03156,-0.06742,-0.23109,0.52886,0.02866,0.62183,0.47013,1.27524,0.11932,1.48493,0.94593,-1.31427,0.12872,-1.04093,-1.57006,0.09783,0.04844,0.31038,0.05658,0.54533,0.52315,3.17273,0.22372,-0.19332,0.00659,-0.17890,-0.21080,-0.00004,0.00030,0.00083,-0.00038,0.07708,0.00611,0.08971,0.06945,1.21208,0.01133,1.23142,1.19313,12.39049,0.34410,13.43676,11.62596,2.80724,0.27665,3.50306,2.07053,17.55878,0.66465,18.60291,15.66260,4.03969,2.08862,8.04189,0.52458,0.01050,0.00371,0.01455,0.00000,0.00493,0.00194,0.00934,0.00000,0.02989,0.01257,0.05833,0.00000,0.00377,0.00162,0.00651,0.00000,0.16478,0.01389,0.19563,0.13490
6,17.14382553100586,14000,-83.20589,-33.54477,nan,2.62668,2.16956,12.27060,3000.00000,-0.11241,0.02224,-0.06317,-0.18186,0.38736,0.02151,0.43786,0.32124,0.85088,0.12463,1.01388,0.53888,-1.00905,0.08620,-0.81773,-1.15301,0.06432,0.02171,0.16018,0.03765,0.43541,0.33690,2.10447,0.20109,-0.19565,0.00610,-0.18191,-0.21071,0.00005,0.00030,0.00090,-0.00034,0.07809,0.00517,0.08986,0.07183,1.24665,0.00857,1.26147,1.23165,12.57440,0.35469,13.49039,11.71600,2.79169,0.26622,3.64465,2.11969,17.92892,0.73206,19.43468,15.81304,5.14126,1.43116,8.07894,0.98581,0.00953,0.00360,0.01420,0.00000,0.00402,0.00174,0.00786,0.00000,0.02556,0.01214,0.04930,0.00000,0.00330,0.00142,0.00579,0.00000,0.15568,0.01299,0.19609,0.13224
7,17.63103675842285,16000,-79.92014,-46.49052,nan,2.77830,2.20291,12.64962,2383.75000,-0.20534,0.02519,-0.14389,-0.27581,0.40676,0.02552,0.47652,0.32687,0.86463,0.11532,1.07710,0.55535,-1.07163,0.07799,-0.85772,-1.15349,0.06826,0.02803,0.22268,0.04274,0.48423,0.41391,2.58066,0.19955,-0.19522,0.00640,-0.17961,-0.21253,-0.00002,0.00032,0.00085,-0.00047,0.07633,0.00652,0.08921,0.06801,1.28009,0.01078,1.29858,1.26167,12.56871,0.34017,13.49670,11.81674,2.91810,0.28691,3.68186,2.26640,18.00943,0.79124,19.77255,16.39703,4.08820,2.04239,7.86490,-1.34758,0.01032,0.00398,0.01561,0.00000,0.00488,0.00211,0.01048,0.00000,0.02973,0.01424,0.06843,0.00000,0.00345,0.00146,0.00643,0.00000,0.15588,0.01266,0.20459,0.12711
8,17.31791615486145,18000,-75.03806,-106.60811,nan,2.98650,2.12955,12.20166,1757.25000,-0.44117,0.04822,-0.27255,-0.56605,0.88605,0.07624,1.12617,0.75695,2.26441,1.40075,4.93375,0.60802,-2.54226,0.36058,-2.10896,-3.90460,0.41496,0.23476,1.13819,0.11443,1.32984,1.24101,7.20311,0.41955,-0.19552,0.00744,-0.16985,-0.21041,-0.00011,0.00034,0.00089,-0.00057,0.08807,0.00744,0.10336,0.07903,1.32369,0.01485,1.34777,1.29879,12.57570,0.36504,13.47671,11.63060,2.80179,0.27182,3.55539,2.06094,17.72567,0.65124,18.78540,16.31843,5.02941,1.58123,8.33505,2.07589,0.01115,0.00384,0.01604,0.00000,0.00754,0.00396,0.01984,0.00000,0.04782,0.03225,0.15169,0.00000,0.00314,0.00132,0.00566,0.00000,0.20770,0.08583,0.55802,0.11974
9,16.790586471557617,20000,-72.62623,-99.07528,nan,2.68004,1.98091,12.12948,1922.50000,-0.42792,0.03426,-0.33198,-0.50323,0.67056,0.02975,0.73865,0.60722,0.65542,0.08042,0.86651,0.45868,-2.19748,0.15498,-1.79305,-2.43863,0.14200,0.11556,0.64070,0.05412,1.02658,1.06782,5.38622,0.34503,-0.19347,0.00577,-0.17789,-0.20939,0.00020,0.00031,0.00103,-0.00024,0.08322,0.00886,0.10357,0.07553,1.35137,0.00108,1.35296,1.34802,12.39227,0.36326,13.30454,11.36623,2.92466,0.30454,3.75132,2.14801,17.87162,0.62151,18.91747,16.38114,3.66964,2.23438,7.57355,-1.05192,0.00786,0.00317,0.01308,0.00000,0.00295,0.00120,0.00521,0.00000,0.01644,0.00674,0.03437,0.00000,0.00282,0.00134,0.00569,0.00000,0.13970,0.00887,0.16568,0.11537
